,nps_3m,nps_3f,nps_2m_f,nps_2f_m,nps_2m,nps_2f
0,"('boy', 'Brian', 'Nicholas')","('saleswoman', 'stepmother', 'Ashley')","('Matthew', 'stepfather', 'Emma')","('Jessica', 'Olivia', 'husband')","('father', 'James')","('Abigail', 'granddaughter')"
1,"('Brian', 'boy', 'Nicholas')","('stepmother', 'saleswoman', 'Ashley')","('stepfather', 'Matthew', 'Emma')","('Olivia', 'Jessica', 'husband')","('James', 'father')","('granddaughter', 'Abigail')"
2,"('Kevin', 'Nicholas', 'Michael')","('daughter', 'Sophia', 'mother-in-law')","('boy', 'David', 'actress')","('Jessica', 'lady', 'Christopher')","('host', 'son')","('Jessica', 'stepmother')"
3,"('Nicholas', 'Kevin', 'Michael')","('Sophia', 'daughter', 'mother-in-law')","('David', 'boy', 'actress')","('lady', 'Jessica', 'Christopher')","('son', 'host')","('stepmother', 'Jessica')"
4,"('cameraman', 'Jason', 'actor')","('daughter', 'Melissa', 'Stephanie')","('Matthew', 'stepson', 'Michelle')","('Jessica', 'mother-in-law', 'Christopher')","('actor', 'boy')","('Hannah', 'wife')"
5,"('Jason', 'cameraman', 'actor')","('Melissa', 'daughter', 'Stephanie')","('stepson', 'Matthew', 'Michelle')","('mother-in-law', 'Jessica', 'Christopher')","('boy', 'actor')","('wife', 'Hannah')"
6,"('Robert', 'son', 'Brian')","('aunt', 'Kimberly', 'granddaughter')","('Joshua', 'William', 'saleswoman')","('Jennifer', 'Melissa', 'father-in-law')","('Joshua', 'Matthew')","('Amanda', 'sister-in-law')"
7,"('son', 'Robert', 'Brian')","('Kimberly', 'aunt', 'granddaughter')","('William', 'Joshua', 'saleswoman')","('Melissa', 'Jennifer', 'father-in-law')","('Matthew', 'Joshua')","('sister-in-law', 'Amanda')"
8,"('David', 'gentleman', 'boy')","('Amanda', 'niece', 'sister-in-law')","('boy', 'salesman', 'Sophia')","('Amy', 'Emma', 'David')","('actor', 'Liam')","('actress', 'Sarah')"
9,"('gentleman', 'David', 'boy')","('niece', 'Amanda', 'sister-in-law')","('salesman', 'boy', 'Sophia')","('Emma', 'Amy', 'David')","('Liam', 'actor')","('Sarah', 'actress')"
10,"('Daniel', 'stepson', 'Nicholas')","('Abigail', 'mother', 'lady')","('actor', 'Michael', 'Jennifer')","('Abigail', 'niece', 'stepfather')","('Brian', 'nephew')","('sister-in-law', 'stepmother')"
11,"('stepson', 'Daniel', 'Nicholas')","('mother', 'Abigail', 'lady')","('Michael', 'actor', 'Jennifer')","('niece', 'Abigail', 'stepfather')","('nephew', 'Brian')","('stepmother', 'sister-in-law')"
12,"('husband', 'Joshua', 'boy')","('mother', 'niece', 'Isabella')","('Brian', 'Jason', 'niece')","('mother-in-law', 'saleswoman', 'Kevin')","('Joshua', 'salesman')","('lady', 'sister-in-law')"
13,"('Joshua', 'husband', 'boy')","('niece', 'mother', 'Isabella')","('Jason', 'Brian', 'niece')","('saleswoman', 'mother-in-law', 'Kevin')","('salesman', 'Joshua')","('sister-in-law', 'lady')"
14,"('Noah', 'waiter', 'James')","('hostess', 'wife', 'Amy')","('Daniel', 'gentleman', 'daughter')","('Madison', 'Melissa', 'Jason')","('John', 'Nicholas')","('Melissa', 'mother-in-law')"
15,"('waiter', 'Noah', 'James')","('wife', 'hostess', 'Amy')","('gentleman', 'Daniel', 'daughter')","('Melissa', 'Madison', 'Jason')","('Nicholas', 'John')","('mother-in-law', 'Melissa')"
16,"('gentleman', 'grandson', 'Daniel')","('Isabella', 'Olivia', 'Emily')","('Kevin', 'uncle', 'mother-in-law')","('Ashley', 'Stephanie', 'husband')","('Daniel', 'uncle')","('Emma', 'Hannah')"
17,"('grandson', 'gentleman', 'Daniel')","('Olivia', 'Isabella', 'Emily')","('uncle', 'Kevin', 'mother-in-law')","('Stephanie', 'Ashley', 'husband')","('uncle', 'Daniel')","('Hannah', 'Emma')"
18,"('Michael', 'Nicholas', 'Andrew')","('Emily', 'granddaughter', 'Sophia')","('father-in-law', 'Jacob', 'Emily')","('Hannah', 'niece', 'William')","('grandson', 'Liam')","('Nicole', 'sister')"
19,"('Nicholas', 'Michael', 'Andrew')","('granddaughter', 'Emily', 'Sophia')","('Jacob', 'father-in-law', 'Emily')","('niece', 'Hannah', 'William')","('Liam', 'grandson')","('sister', 'Nicole')"
20,"('Matthew', 'Noah', 'brother')","('Abigail', 'Olivia', 'Nicole')","('boy', 'Jason', 'Emily')","('Ashley', 'Emily', 'Andrew')","('brother', 'Joshua')","('Amanda', 'Sarah')"
21,"('Noah', 'Matthew', 'brother')","('Olivia', 'Abigail', 'Nicole')","('Jason', 'boy', 'Emily')","('Emily', 'Ashley', 'Andrew')","('Joshua', 'brother')","('Sarah', 'Amanda')"
22,"('actor', 'Jason', 'Andrew')","('saleswoman', 'Sarah', 'businesswoman')","('Brian', 'father', 'Madison')","('Emily', 'Jessica', 'Brian')","('father', 'Michael')","('lady', 'stepdaughter')"
23,"('Jason', 'actor', 'Andrew')","('Sarah', 'saleswoman', 'businesswoman')","('father', 'Brian', 'Madison')","('Jessica', 'Emily', 'Brian')","('Michael', 'father')","('stepdaughter', 'lady')"
24,"('Brian', 'brother-in-law', 'William')","('lady', 'mother-in-law', 'actress')","('Matthew', 'William', 'Hannah')","('Jennifer', 'lady', 'Daniel')","('Jason', 'salesman')","('Melissa', 'Sophia')"
25,"('brother-in-law', 'Brian', 'William')","('mother-in-law', 'lady', 'actress')","('William', 'Matthew', 'Hannah')","('lady', 'Jennifer', 'Daniel')","('salesman', 'Jason')","('Sophia', 'Melissa')"
